,datetime,bid_open,bid_high,bid_low,bid_close,bid_volume,bid_average,bid_barCount,ask_open,ask_high,ask_low,ask_close,ask_volume,ask_average,ask_barCount
7200,2020-06-10 02:00:00+00:00,1.63001,1.63001,1.63001,1.63001,-1,-1.0,-1,1.63008,1.63008,1.63008,1.63008,-1,-1.0,-1
10800,2020-06-10 03:00:00+00:00,1.62789,1.62795,1.62785,1.62795,-1,-1.0,-1,1.62793,1.62798,1.6279,1.62798,-1,-1.0,-1
14400,2020-06-10 04:00:00+00:00,1.62705,1.62705,1.62703,1.62705,-1,-1.0,-1,1.62713,1.62713,1.62711,1.62712,-1,-1.0,-1
18000,2020-06-10 05:00:00+00:00,1.6273,1.62743,1.6273,1.62731,-1,-1.0,-1,1.62737,1.62744,1.62736,1.62737,-1,-1.0,-1
21600,2020-06-10 06:00:00+00:00,1.62428,1.62438,1.62416,1.62425,-1,-1.0,-1,1.62437,1.6244,1.62418,1.62431,-1,-1.0,-1
25200,2020-06-10 07:00:00+00:00,1.62683,1.62685,1.62666,1.62666,-1,-1.0,-1,1.62692,1.62692,1.62669,1.62669,-1,-1.0,-1
28800,2020-06-10 08:00:00+00:00,1.6246,1.62472,1.62459,1.62471,-1,-1.0,-1,1.62468,1.62479,1.62466,1.62479,-1,-1.0,-1
32400,2020-06-10 09:00:00+00:00,1.6247,1.62472,1.62469,1.6247,-1,-1.0,-1,1.62476,1.62477,1.62476,1.62476,-1,-1.0,-1
36000,2020-06-10 10:00:00+00:00,1.62428,1.62434,1.62424,1.6243,-1,-1.0,-1,1.6243,1.62438,1.6243,1.62436,-1,-1.0,-1
39600,2020-06-10 11:00:00+00:00,1.62323,1.62325,1.62318,1.62318,-1,-1.0,-1,1.62329,1.62332,1.62324,1.62325,-1,-1.0,-1
43200,2020-06-10 12:00:00+00:00,1.6241,1.62416,1.62407,1.62416,-1,-1.0,-1,1.62419,1.62427,1.62415,1.62426,-1,-1.0,-1
46800,2020-06-10 13:00:00+00:00,1.62306,1.62312,1.62302,1.62309,-1,-1.0,-1,1.62312,1.62315,1.6231,1.62315,-1,-1.0,-1
50400,2020-06-10 14:00:00+00:00,1.62313,1.62315,1.6231,1.62313,-1,-1.0,-1,1.62321,1.62321,1.62316,1.62318,-1,-1.0,-1
54000,2020-06-10 15:00:00+00:00,1.62402,1.62407,1.62401,1.62402,-1,-1.0,-1,1.62404,1.62411,1.62402,1.62406,-1,-1.0,-1
